frame,leye_openness,reye_openness,confidence,face_yaw,face_pitch,nose_length,normal_vector,distance_x,distance_y,arrow_length,pitch_arrow_length,triangle_area,eye_distance
14,0.1916748953258308,0.19136839958948368,1.0,0.5,-18.5,60.500106664922924,0.6878121885533655,1,-37,1,-37,3107.0,114.00438588054409
15,0.18907567984412768,0.18483889390876213,1.0,1.0,-18.5,60.68602285162254,0.6816028507270611,2,-37,2,-37,3107.5,114.00438588054409
16,0.18409479948258992,0.1824251465292044,1.0,0.5,-18.5,60.67052857018894,0.6942636700291456,1,-37,1,-37,3109.0,113.01769772916099
17,0.1803683060710001,0.1886088761987961,1.0,0.5,-18.5,60.863066556413465,0.6941519558249476,1,-37,1,-37,3136.0,114.0175425099138
18,0.1818778860438496,0.18551198842516378,1.0,1.0,-18.0,60.387690789033506,0.6747674783416369,2,-36,2,-36,3050.5,114.00438588054409
19,0.18270762702330037,0.1884965285594442,1.0,0.5,-18.0,60.35015196350652,0.6810204245220597,1,-36,1,-36,3050.0,114.00438588054409
20,0.18240587140435785,0.18636060500456078,1.0,1.0,-18.0,60.31525366198443,0.6813278494268298,2,-36,2,-36,3053.5,113.01769772916099
21,0.17659568498151543,0.17306433751686465,1.0,1.0,-18.5,61.0130797119225,0.6881066472573371,2,-37,2,-37,3110.0,113.01769772916099
22,0.15847865014427576,0.168096532782453,1.0,0.5,-18.0,61.08121416474683,0.6870702541298481,1,-36,1,-36,3025.0,113.03981599418853
23,0.17101726909073878,0.17443552443293983,1.0,1.0,-18.0,60.78879429525115,0.6745835520917661,2,-36,2,-36,3054.0,114.03946685248927
24,0.16985132876623607,0.1721470074701025,1.0,1.0,-18.0,60.69677746084256,0.6745835520917661,2,-36,2,-36,3054.0,114.03946685248927
25,0.1703886903726104,0.17510515519350658,1.0,1.0,-18.0,60.50340931933215,0.6807076604491962,2,-36,2,-36,3052.5,114.03946685248927
26,0.16487061732632913,0.1725100060723752,1.0,1.0,-18.0,60.68876319076677,0.6807076604491962,2,-36,2,-36,3052.5,114.03946685248927
27,0.17201981132246114,0.16885986063677924,1.0,1.0,-18.0,60.682780694996914,0.6807076604491962,2,-36,2,-36,3052.5,114.03946685248927
28,0.17294452565160093,0.17278810468506217,1.0,1.0,-18.0,60.32161894722398,0.6742587866584371,2,-36,2,-36,3023.0,114.0175425099138
29,0.17483356083222387,0.17690992957428528,1.0,1.0,-18.0,60.32365317767172,0.6807076604491962,2,-36,2,-36,3052.5,114.03946685248927
30,0.16608700628149162,0.1799579825391678,1.0,1.0,-18.0,60.27555144160318,0.6743733983017054,2,-36,2,-36,2997.0,113.01769772916099
31,0.16736035925079643,0.16946052000112818,1.0,1.0,-18.0,60.78397551350698,0.6807076604491962,2,-36,2,-36,3052.5,114.03946685248927
32,0.1645260147941487,0.16640082112555832,1.0,1.0,-18.0,60.787955026573066,0.6808781226194363,2,-36,2,-36,3026.5,113.03981599418853
33,0.16378812268362788,0.17652723969589854,1.0,1.0,-18.0,60.53875964293588,0.6807076604491962,2,-36,2,-36,3052.5,114.03946685248927
34,0.167110034436094,0.17098976241365973,1.0,1.0,-18.0,60.84913430105373,0.6807076604491962,2,-36,2,-36,3052.5,114.03946685248927
35,0.16627099160329273,0.17578544261729126,1.0,1.0,-18.0,60.87180829534381,0.6807076604491962,2,-36,2,-36,3052.5,114.03946685248927
36,0.17238296002673006,0.17642042731218957,1.0,1.0,-18.0,60.53636069240378,0.6742587866584371,2,-36,2,-36,3023.0,114.0175425099138
37,0.17000460480229182,0.17938959673934562,1.0,1.0,-18.5,60.85165250374963,0.6876066304134869,2,-37,2,-37,3109.5,114.03946685248927
38,0.1705782057872205,0.1736802448964475,1.0,1.0,-18.5,61.18414121024271,0.6876066304134869,2,-37,2,-37,3109.5,114.03946685248927
39,0.18055886757789344,0.1697094688248711,1.0,1.0,-18.5,61.458867986203934,0.681521706536153,2,-37,2,-37,3111.0,114.03946685248927
40,0.1728616476879325,0.1695193459794431,1.0,1.0,-18.5,60.959244892139616,0.6877755862856522,2,-37,2,-37,3083.0,113.03981599418853
41,0.17845648697691022,0.17224207109136816,1.0,1.0,-18.5,60.8746841023373,0.6876066304134869,2,-37,2,-37,3109.5,114.03946685248927
42,0.17685541597578178,0.17317732600117708,1.0,1.0,-18.5,60.92551892958709,0.6817884881253622,2,-37,2,-37,3165.0,115.0173899895142
43,0.16608535553835893,0.17103218094468642,1.0,1.0,-18.5,61.18228887222789,0.6819000478868712,2,-37,2,-37,3138.0,114.0175425099138
